,fips,number_rivers_and_streams,length_of_rivers_and_streams
2389,47009,18,282.84
2390,47011,9,166.53
2391,47013,17,266.09
2392,47015,12,74.84
2393,47017,15,207.33
2394,47019,8,179.89
2395,47021,12,211.73
2396,47023,12,86.35
2397,47025,12,299.42
2398,47027,13,161.13
2399,47029,12,224.16
2400,47031,12,169.0
2401,47033,3,53.17
2402,47035,18,305.07
2403,47037,15,216.47
2404,47039,8,127.86
2405,47041,7,201.2
2406,47043,14,218.0
2407,47045,11,232.96
2408,47047,12,236.37
2409,47049,21,253.96
2410,47051,12,206.21
2411,47053,10,166.31
2412,47055,16,255.15
2413,47057,7,138.37
2414,47059,14,329.81
2415,47061,8,126.89
2416,47063,6,44.94
2417,47065,15,268.95
2418,47067,8,166.42
2419,47069,14,282.0
2420,47071,12,270.76
2421,47073,14,246.01
2422,47075,10,247.65
2423,47077,16,213.37
2424,47079,17,248.33
2425,47081,9,261.63
2426,47083,7,64.98
2427,47085,11,248.77
2428,47087,12,174.31
2429,47089,8,127.17
2430,47091,10,157.83
2431,47093,14,291.26
2432,47095,3,42.69
2433,47097,10,177.29
2434,47099,17,301.55
2435,47101,8,104.5
2436,47103,16,272.71
2437,47105,9,134.37
2438,47107,11,267.64
2439,47109,11,166.73
2440,47111,9,78.04
2441,47113,12,150.41
2442,47115,8,200.92
2443,47117,13,163.55
2444,47119,10,274.01
2445,47121,5,115.28
2446,47123,13,283.25
2447,47125,18,296.8
2448,47127,5,45.98
2449,47129,24,312.5
2450,47131,16,203.3
2451,47133,13,191.12
2452,47135,6,156.22
2453,47137,6,88.79
2454,47139,9,173.05
2455,47141,15,140.33
2456,47143,8,142.1
2457,47145,8,158.35
2458,47147,12,233.69
2459,47149,12,274.95
2460,47151,17,248.91
2461,47153,6,103.6
2462,47155,16,302.16
2463,47157,11,278.92
2464,47159,9,170.02
2465,47161,13,173.9
2466,47163,13,221.64
2467,47165,15,220.31
2468,47167,6,119.76
2469,47169,3,51.75
2470,47171,5,76.17
2471,47173,4,110.01
2472,47175,7,111.91
2473,47177,13,243.05
2474,47179,10,139.82
2475,47181,18,335.2
2476,47183,13,206.73
2477,47185,7,161.18
2478,47187,17,198.27
2479,47189,11,252.01
2480,48001,29,570.42
2481,48003,0,0.0
2482,48005,24,397.67
2483,48007,4,29.28
2484,48009,19,396.87
2485,48011,8,229.36
2486,48013,23,579.73
2487,48015,11,253.87
2488,48017,0,0.0
2489,48019,15,295.48
2490,48021,20,442.91
2491,48023,17,304.89
2492,48025,20,472.72
2493,48027,24,570.14
2494,48029,29,682.25
2495,48031,18,298.02
2496,48035,24,500.61
2497,48037,19,473.21
2498,48039,16,676.86
2499,48041,12,295.48
2500,48043,33,1213.84
2501,48045,16,298.4
2502,48047,7,183.55
2503,48049,15,317.5
2504,48051,9,281.73
2505,48053,18,392.08
2506,48055,13,281.17
2507,48057,11,122.85
2508,48059,25,377.86
2509,48061,4,199.89
2510,48063,6,77.07
2511,48065,11,199.78
2512,48067,20,375.04
2513,48069,0,0.0
2514,48071,10,205.05
2515,48073,28,497.12
2516,48075,13,266.98
2517,48077,21,483.72
2518,48079,0,0.0
2519,48081,9,194.49
2520,48083,21,626.71
2521,48085,19,378.9
2522,48087,10,213.6
2523,48089,23,495.54
2524,48091,11,249.68
2525,48093,17,426.69
2526,48095,18,425.95
2527,48097,26,429.31
2528,48099,16,381.45
2529,48101,14,299.37
2530,48103,1,53.67
2531,48105,6,246.49
2532,48107,8,170.9
2533,48109,5,217.05
2534,48111,7,243.59
2535,48113,20,373.19
2536,48115,2,62.9
2537,48117,4,174.18
2538,48119,12,155.6
2539,48121,17,401.69
2540,48123,21,449.46
2541,48125,12,269.47
2542,48127,17,350.04
2543,48129,14,276.71
2544,48131,29,631.53
2545,48133,23,389.18
2546,48135,0,0.0
2547,48137,21,513.7
2548,48139,23,474.59
2549,48141,1,53.77
2550,48143,32,480.42
2551,48145,19,356.36
2552,48147,30,370.84
2553,48149,17,378.57
2554,48151,12,299.03
2555,48153,5,101.93
2556,48155,16,382.08
2557,48157,20,560.93
2558,48159,12,130.92
2559,48161,17,322.8
2560,48163,26,376.03
2561,48165,0,0.0
2562,48167,6,122.6
2563,48169,7,237.94
2564,48171,19,317.89
2565,48173,4,81.39
2566,48175,13,382.43
2567,48177,24,545.83
2568,48179,7,197.96
2569,48181,32,432.02
2570,48183,9,129.76
2571,48185,24,294.37
2572,48187,15,343.57
2573,48189,0,0.0
2574,48191,18,289.62
2575,48193,11,270.93
2576,48195,6,225.72
2577,48197,15,235.25
2578,48199,20,465.37
2579,48201,28,805.38
2580,48203,21,375.9
2581,48205,12,263.97
2582,48207,11,237.94
2583,48209,18,292.72
2584,48211,10,257.7
2585,48213,20,408.04
2586,48215,4,93.01
2587,48217,23,413.12
2588,48219,0,0.0
2589,48221,11,195.26
2590,48223,23,290.94
2591,48225,26,553.11
2592,48227,10,162.88
2593,48229,4,241.94
2594,48231,23,404.36
2595,48233,16,316.36
2596,48235,3,113.1
2597,48237,21,398.63
2598,48239,19,433.02
2599,48241,24,532.02
2600,48243,11,211.31
2601,48245,14,340.14
2602,48247,11,142.82
2603,48249,27,457.26
2604,48251,22,341.79
2605,48253,18,413.62
2606,48255,21,330.46
2607,48257,19,337.1
2608,48259,19,279.49
2609,48261,2,30.3
2610,48263,9,303.55
2611,48265,14,302.92
2612,48267,17,408.56
2613,48269,19,457.76
2614,48271,22,689.82
2615,48273,10,241.9
2616,48275,11,314.86
2617,48277,34,461.13
2618,48279,0,0.0
2619,48281,11,245.41
2620,48283,21,487.29
2621,48285,19,460.91
2622,48287,19,289.01
2623,48289,23,488.34
2624,48291,16,369.27
2625,48293,19,354.07
2626,48295,21,381.77
2627,48297,17,423.38
2628,48299,21,395.84
2629,48303,1,39.19
2630,48305,1,7.6
2631,48307,23,426.56
2632,48309,25,512.41
2633,48311,24,450.97
2634,48313,15,252.0
2635,48315,10,200.9
2636,48317,1,15.28
2637,48319,16,289.64
2638,48321,18,630.56
2639,48323,15,362.92
2640,48325,22,667.44
2641,48327,16,256.96
2642,48329,0,0.0
2643,48331,29,538.77
2644,48333,15,285.91
2645,48335,16,438.85
2646,48337,27,479.89
2647,48339,20,518.37
2648,48341,10,203.16
2649,48343,8,104.4
2650,48345,18,423.32
2651,48347,27,548.77
2652,48349,24,515.71
2653,48351,24,507.85
2654,48353,16,245.61
2655,48355,10,225.98
2656,48357,12,127.19
2657,48359,22,528.19
2658,48361,9,196.54
2659,48363,23,491.5
2660,48365,11,365.38
2661,48367,22,444.89
2662,48369,1,2.14
2663,48371,9,418.18
2664,48373,28,530.81
2665,48375,11,297.39
2666,48377,20,833.78
2667,48379,11,145.25
2668,48381,4,126.32
2669,48383,2,15.74
2670,48385,9,212.89
2671,48387,35,602.01
2672,48389,6,394.75
2673,48391,15,333.26
2674,48393,15,342.15
2675,48395,19,364.98
2676,48397,5,39.93
2677,48399,19,457.39
2678,48401,30,415.19
2679,48403,12,259.8
2680,48405,23,325.37
2681,48407,11,293.07
2682,48409,5,158.56
2683,48411,17,490.12
2684,48413,9,215.63
2685,48415,17,478.55
2686,48417,21,426.67
2687,48419,27,395.22
2688,48421,4,190.31
2689,48423,20,327.45
2690,48425,7,90.85
2691,48427,6,181.4
2692,48429,22,420.1
2693,48431,11,228.51
2694,48433,13,328.2
2695,48435,7,228.18
2696,48437,2,35.18
2697,48439,22,445.37
2698,48441,18,369.06
2699,48443,13,357.27
2700,48445,0,0.0
2701,48447,15,391.07
2702,48449,14,206.23
2703,48451,16,440.13
2704,48453,17,504.54
2705,48455,16,342.14
2706,48457,19,517.26
2707,48459,15,247.26
2708,48461,2,40.17
2709,48463,20,708.09
2710,48465,18,841.69
2711,48467,20,367.58
2712,48469,15,484.62
2713,48471,23,373.2
2714,48473,18,287.78
2715,48475,2,99.37
2716,48477,16,257.17
2717,48479,43,1032.93
2718,48481,25,662.21
2719,48483,8,224.26
2720,48485,16,366.54
2721,48487,17,412.57
2722,48489,2,15.32
2723,48491,21,556.8
2724,48493,18,337.98
2725,48495,0,0.0
2726,48497,23,426.41
2727,48499,13,253.57
2728,48501,0,0.0
2729,48503,18,412.43
2730,48505,15,324.04
2731,48507,21,516.64
2732,49001,15,327.03
2733,49003,29,723.88
2734,49005,17,411.66
2735,49007,29,629.56
2736,49009,13,260.8
2737,49011,2,13.91
2738,49013,34,906.84
2739,49015,23,912.74
2740,49017,79,1674.83
2741,49019,25,713.66
2742,49021,21,253.07
2743,49023,19,407.46
2744,49025,36,963.81
2745,49027,22,678.44
2746,49029,8,191.44
2747,49031,16,260.62
2748,49033,13,263.79
2749,49035,7,218.96
2750,49037,43,1673.06
2751,49039,26,404.93
2752,49041,39,608.42
2753,49043,35,701.99
2754,49045,17,336.93
2755,49047,26,1147.07
2756,49049,27,439.17
2757,49051,16,389.85
2758,49053,28,521.07
2759,49055,23,585.59
2760,49057,8,189.45
2761,50001,27,355.95
2762,50003,33,320.03
2763,50005,20,225.55
2764,50007,8,178.77
2765,50009,19,237.94
2766,50011,12,209.15
2767,50013,0,0.0
2768,50015,15,192.65
2769,50017,14,238.46
2770,50019,15,154.47
2771,50021,35,434.82
2772,50023,11,228.23
2773,50025,34,458.09
2774,50027,31,420.99
2775,51001,5,41.65
2776,51003,14,186.48
2777,51005,9,214.79
2778,51007,9,194.54
2779,51009,8,198.85
2780,51011,12,151.14
2781,51013,1,0.63
2782,51015,9,358.76
2783,51017,10,232.53
2784,51019,18,333.81
2785,51021,10,231.65
2786,51023,12,242.41
2787,51025,10,222.02
2788,51027,12,196.4
2789,51029,17,276.63
2790,51031,14,251.0
2791,51033,21,268.0
2792,51035,11,273.6
2793,51036,7,103.46
2794,51037,12,220.91
2795,51041,12,170.99
2796,51043,5,75.55
2797,51045,5,175.66
2798,51047,11,224.28
2799,51049,9,106.45
2800,51051,11,179.85
2801,51053,14,236.35
2802,51057,13,111.26
2803,51059,13,172.82
2804,51061,20,296.89
2805,51063,10,211.0
2806,51065,4,112.71
2807,51067,15,444.31
2808,51069,13,216.52
2809,51071,13,237.56
2810,51073,8,54.14
2811,51075,9,124.47
2812,51077,14,207.65
2813,51079,4,36.45
2814,51081,6,169.7
2815,51083,20,442.24
2816,51085,8,243.09
2817,51087,9,121.65
2818,51089,13,209.34
2819,51091,9,170.39
2820,51093,13,133.61
2821,51095,8,54.97
2822,51097,16,181.88
2823,51099,7,76.76
2824,51101,15,181.8
2825,51103,6,36.77
2826,51105,9,251.48
2827,51107,16,233.23
2828,51109,11,197.73
2829,51111,11,199.92
2830,51113,5,113.83
2831,51115,1,7.65
2832,51117,15,298.51
2833,51119,5,45.64
2834,51121,16,242.37
2835,51125,9,164.95
2836,51127,10,100.85
2837,51131,1,0.1
2838,51133,4,38.31
2839,51135,13,150.87
2840,51137,10,122.19
2841,51139,3,103.15
2842,51141,13,268.86
2843,51143,28,553.15
2844,51145,12,122.49
2845,51147,7,139.08
2846,51149,8,88.09
2847,51153,11,196.02
2848,51155,9,210.23
2849,51157,9,119.68
2850,51159,5,73.36
2851,51161,8,157.49
2852,51163,13,269.06
2853,51165,15,282.48
2854,51167,14,254.62
2855,51169,14,355.87
2856,51171,4,216.61
2857,51173,10,181.32
2858,51175,13,246.8
2859,51177,9,186.66
2860,51179,7,127.31
2861,51181,8,112.4
2862,51183,15,232.72
2863,51185,19,315.01
2864,51187,7,94.89
2865,51191,15,260.32
2866,51193,6,33.74
2867,51195,23,271.34
2868,51197,8,200.3
2869,51199,9,78.03
2870,51710,7,110.73
2871,51800,6,83.02
2872,51810,5,67.08
2873,53001,8,125.64
2874,53003,13,262.55
2875,53005,10,406.69
2876,53007,44,924.64
2877,53009,51,805.95
2878,53011,12,267.54
2879,53013,17,273.53
2880,53015,18,424.16
2881,53017,16,371.61
2882,53019,46,711.84
2883,53021,4,161.87
2884,53023,12,274.04
2885,53025,19,407.87
2886,53027,64,1169.48
2887,53029,0,0.0
2888,53031,41,806.46
2889,53033,46,871.08
2890,53035,8,45.78
2891,53037,41,901.06
2892,53039,27,579.65
2893,53041,59,1046.64
2894,53043,25,682.83
2895,53045,28,432.45
2896,53047,85,1746.64
2897,53049,30,426.92
2898,53051,29,459.75
2899,53053,37,700.98
2900,53055,0,0.0
2901,53057,39,707.1
2902,53059,36,586.48
2903,53061,50,930.72
2904,53063,28,594.63
2905,53065,52,844.12
2906,53067,15,275.71
2907,53069,8,69.8
2908,53071,11,376.55
2909,53073,65,907.79
2910,53075,23,867.98
2911,53077,52,1366.75
2912,54001,9,181.48
2913,54003,6,137.32
2914,54005,8,218.35
2915,54007,15,275.68
2916,54009,6,78.75
2917,54011,7,136.56
2918,54013,7,150.34
2919,54015,9,152.74
2920,54017,7,127.78
2921,54019,16,234.93
2922,54021,10,182.04
2923,54023,16,251.11
2924,54025,22,480.05
2925,54027,11,334.98
2926,54029,9,72.22
2927,54031,10,191.55
2928,54033,7,180.04
2929,54035,15,200.06
2930,54037,6,81.79
2931,54039,16,366.95
2932,54041,12,178.98
2933,54043,9,189.62
2934,54045,8,177.31
2935,54047,6,220.79
2936,54049,10,131.7
2937,54051,12,194.07
2938,54053,13,221.73
2939,54055,9,198.79
2940,54057,12,164.68
2941,54059,10,189.0
2942,54061,6,124.56
2943,54063,15,177.03
2944,54065,6,130.8
2945,54067,17,311.76
2946,54069,4,70.28
2947,54071,8,240.59
2948,54073,3,73.17
2949,54075,16,340.85
2950,54077,16,246.75
2951,54079,7,157.89
2952,54081,19,296.93
2953,54083,18,478.63
2954,54085,7,223.58
2955,54087,13,190.43
2956,54089,10,160.41
2957,54091,5,67.01
2958,54093,14,231.71
2959,54095,5,111.11
2960,54097,12,185.54
2961,54099,11,256.52
2962,54101,12,270.59
2963,54103,7,165.94
2964,54105,12,168.29
2965,54107,12,186.88
2966,54109,12,306.48
2967,55001,12,259.3
2968,55003,27,506.21
2969,55005,21,389.78
2970,55007,45,587.97
2971,55009,9,159.88
2972,55011,19,310.01
2973,55013,19,366.25
2974,55015,8,104.76
2975,55017,25,496.22
2976,55019,24,518.64
2977,55021,15,359.31
2978,55023,9,156.15
2979,55025,16,406.85
2980,55027,10,239.67
2981,55029,7,66.71
2982,55031,30,619.1
2983,55033,34,459.31
2984,55035,21,310.21
2985,55037,16,247.33
2986,55039,17,299.87
2987,55041,21,327.3
2988,55043,17,504.75
2989,55045,15,248.86
2990,55047,8,159.12
2991,55049,22,333.95
2992,55051,27,348.61
2993,55053,27,403.56
2994,55055,12,276.5
2995,55057,14,265.96
2996,55059,4,76.34
2997,55061,8,113.15
2998,55063,11,174.93
2999,55065,14,315.15
3000,55067,23,356.64
3001,55069,15,348.49
3002,55071,11,207.68
3003,55073,25,689.19
3004,55075,26,618.55
3005,55077,12,217.66
3006,55079,6,107.56
3007,55081,27,285.78
3008,55083,22,493.87
3009,55085,24,401.71
3010,55087,9,227.02
3011,55089,6,113.45
3012,55091,15,145.73
3013,55093,13,212.54
3014,55095,19,326.66
3015,55097,16,210.63
3016,55099,31,542.4
3017,55101,9,108.98
3018,55103,8,233.06
3019,55105,11,219.46
3020,55107,24,504.79
3021,55109,14,297.03
3022,55111,16,340.24
3023,55113,23,483.44
3024,55115,26,636.17
3025,55117,8,251.95
3026,55119,34,465.89
3027,55121,20,336.69
3028,55123,19,317.44
3029,55125,26,174.32
3030,55127,9,147.06
3031,55129,17,279.85
3032,55131,14,184.3
3033,55133,11,213.21
3034,55135,17,368.68
3035,55137,11,122.85
3036,55139,4,173.25
3037,55141,14,277.99
3038,56001,63,1358.28
3039,56003,51,1224.78
3040,56005,89,2095.82
3041,56007,105,2853.06
3042,56009,87,2105.58
3043,56011,73,1582.39
3044,56013,117,3505.9
3045,56015,19,539.59
3046,56017,43,898.19
3047,56019,82,2002.96
3048,56021,26,812.77
3049,56023,52,1376.58
3050,56025,78,2013.8
3051,56027,52,1217.33
3052,56029,155,2974.82
3053,56031,35,854.98
3054,56033,78,1268.57
3055,56035,65,1913.71
3056,56037,49,1831.41
3057,56039,101,1758.46
3058,56041,33,870.69
3059,56043,54,1089.33
3060,56045,57,1446.49
