,fips,number_rivers_and_streams,length_of_rivers_and_streams
454,13207,11,159.19
455,13209,6,59.84
456,13211,10,168.8
457,13213,7,164.68
458,13215,7,111.51
459,13217,11,138.52
460,13219,5,64.25
461,13221,11,145.24
462,13223,6,111.78
463,13225,5,44.79
464,13227,6,79.35
465,13229,10,117.32
466,13231,3,73.29
467,13233,7,99.59
468,13235,7,127.64
469,13237,7,145.03
470,13239,4,53.56
471,13241,8,192.12
472,13243,11,113.22
473,13245,10,129.55
474,13247,5,64.99
475,13249,4,37.36
476,13251,6,216.63
477,13253,4,74.87
478,13255,8,69.88
479,13257,5,86.35
480,13259,9,159.28
481,13261,9,161.37
482,13263,11,171.34
483,13265,8,71.24
484,13267,11,178.41
485,13269,6,155.72
486,13271,6,229.86
487,13273,7,101.29
488,13275,11,181.18
489,13277,7,71.11
490,13279,7,137.93
491,13281,3,61.13
492,13283,7,75.94
493,13285,8,174.28
494,13287,5,81.58
495,13289,10,150.51
496,13291,14,139.17
497,13293,7,163.59
498,13295,18,225.09
499,13297,9,141.04
500,13299,9,130.04
501,13301,9,124.23
502,13303,9,201.13
503,13305,10,193.39
504,13307,5,81.91
505,13309,6,126.56
506,13311,9,127.57
507,13313,8,157.15
508,13315,9,127.72
509,13317,12,153.39
510,13319,8,180.29
511,13321,11,185.79
512,16001,11,236.64
513,16003,27,581.29
514,16005,21,396.76
515,16007,12,324.8
516,16009,21,291.04
517,16011,10,293.93
518,16013,36,679.68
519,16015,31,674.62
520,16017,42,537.63
521,16019,28,561.04
522,16021,25,453.19
523,16023,22,378.71
524,16025,24,351.23
525,16027,7,121.58
526,16029,17,434.34
527,16031,21,423.89
528,16033,32,519.23
529,16035,50,918.51
530,16037,77,1513.27
531,16039,47,1031.41
532,16041,11,259.94
533,16043,23,575.21
534,16045,6,108.88
535,16047,10,267.68
536,16049,132,2871.85
537,16051,4,120.4
538,16053,2,40.11
539,16055,35,335.71
540,16057,16,308.79
541,16059,72,1404.44
542,16061,10,174.68
543,16063,4,131.39
544,16065,9,162.48
545,16067,2,36.14
546,16069,17,269.07
547,16071,9,175.63
548,16073,88,2548.3
549,16075,6,118.17
550,16077,13,296.71
551,16079,54,890.17
552,16081,9,126.78
553,16083,17,475.96
554,16085,54,1231.99
555,16087,27,485.92
556,17001,11,211.86
557,17003,8,138.96
